"Step","phase1_top3 - validation_step_timing in s","phase1_top3 - validation_step_timing in s__MIN","phase1_top3 - validation_step_timing in s__MAX"
"2201","0.03399658203125","0.03399658203125","0.03399658203125"
"2210","0.030941247940063477","0.030941247940063477","0.030941247940063477"
"2212","0.0546107292175293","0.0546107292175293","0.0546107292175293"
"2218","0.048943519592285156","0.048943519592285156","0.048943519592285156"
"2222","0.031137704849243164","0.031137704849243164","0.031137704849243164"
"2256","0.05424237251281738","0.05424237251281738","0.05424237251281738"
"2272","0.0539090633392334","0.0539090633392334","0.0539090633392334"
"2281","0.051505327224731445","0.051505327224731445","0.051505327224731445"
"2292","0.06048464775085449","0.06048464775085449","0.06048464775085449"
"2304","0.03474736213684082","0.03474736213684082","0.03474736213684082"
"2311","0.04908585548400879","0.04908585548400879","0.04908585548400879"
"2337","0.031331777572631836","0.031331777572631836","0.031331777572631836"
"2352","0.05242013931274414","0.05242013931274414","0.05242013931274414"
"2361","0.05216503143310547","0.05216503143310547","0.05216503143310547"
"2365","0.06005692481994629","0.06005692481994629","0.06005692481994629"
"2387","0.03683924674987793","0.03683924674987793","0.03683924674987793"
"2391","0.04864215850830078","0.04864215850830078","0.04864215850830078"
"2409","0.03166389465332031","0.03166389465332031","0.03166389465332031"
"2415","0.029328346252441406","0.029328346252441406","0.029328346252441406"
"2419","0.05900430679321289","0.05900430679321289","0.05900430679321289"
"2428","0.0315709114074707","0.0315709114074707","0.0315709114074707"
"2431","0.036477088928222656","0.036477088928222656","0.036477088928222656"
"2437","0.032906532287597656","0.032906532287597656","0.032906532287597656"
"2438","0.03193044662475586","0.03193044662475586","0.03193044662475586"
"2463","0.03305840492248535","0.03305840492248535","0.03305840492248535"
"2468","0.029186725616455078","0.029186725616455078","0.029186725616455078"
"2542","0.05849432945251465","0.05849432945251465","0.05849432945251465"
"2546","0.039836883544921875","0.039836883544921875","0.039836883544921875"
"2551","0.06219792366027832","0.06219792366027832","0.06219792366027832"
"2558","0.03152751922607422","0.03152751922607422","0.03152751922607422"
"2560","0.03541398048400879","0.03541398048400879","0.03541398048400879"
"2572","0.05947256088256836","0.05947256088256836","0.05947256088256836"
"2582","0.0511629581451416","0.0511629581451416","0.0511629581451416"
"2587","0.057558536529541016","0.057558536529541016","0.057558536529541016"
"2599","0.04190635681152344","0.04190635681152344","0.04190635681152344"
"2608","0.03781414031982422","0.03781414031982422","0.03781414031982422"
"2621","0.03220319747924805","0.03220319747924805","0.03220319747924805"
"2633","0.03873300552368164","0.03873300552368164","0.03873300552368164"
"2671","0.053633928298950195","0.053633928298950195","0.053633928298950195"
"2681","0.05803179740905762","0.05803179740905762","0.05803179740905762"
"2709","0.03257322311401367","0.03257322311401367","0.03257322311401367"
"2716","0.0506894588470459","0.0506894588470459","0.0506894588470459"
"2741","0.030874252319335938","0.030874252319335938","0.030874252319335938"
"2747","0.0312960147857666","0.0312960147857666","0.0312960147857666"
"2761","0.03475642204284668","0.03475642204284668","0.03475642204284668"
"2782","0.056040048599243164","0.056040048599243164","0.056040048599243164"
"2824","0.05805683135986328","0.05805683135986328","0.05805683135986328"
"2830","0.03821301460266113","0.03821301460266113","0.03821301460266113"
"2842","0.052791595458984375","0.052791595458984375","0.052791595458984375"
"2845","0.03336000442504883","0.03336000442504883","0.03336000442504883"
"2848","0.02975773811340332","0.02975773811340332","0.02975773811340332"
"2872","0.059295654296875","0.059295654296875","0.059295654296875"
"2880","0.03485918045043945","0.03485918045043945","0.03485918045043945"
"2883","0.04385995864868164","0.04385995864868164","0.04385995864868164"
"2893","0.035527706146240234","0.035527706146240234","0.035527706146240234"
"2911","0.04501843452453613","0.04501843452453613","0.04501843452453613"
"2918","0.049410343170166016","0.049410343170166016","0.049410343170166016"
"2920","0.040055036544799805","0.040055036544799805","0.040055036544799805"
"2950","0.0282135009765625","0.0282135009765625","0.0282135009765625"
"2955","0.02889418601989746","0.02889418601989746","0.02889418601989746"
"2967","0.053314208984375","0.053314208984375","0.053314208984375"
"2984","0.035257816314697266","0.035257816314697266","0.035257816314697266"
"2986","0.04238295555114746","0.04238295555114746","0.04238295555114746"
"3001","0.03799915313720703","0.03799915313720703","0.03799915313720703"
"3012","0.04505634307861328","0.04505634307861328","0.04505634307861328"
"3038","0.03218531608581543","0.03218531608581543","0.03218531608581543"
"3039","0.04557657241821289","0.04557657241821289","0.04557657241821289"
"3061","0.05570554733276367","0.05570554733276367","0.05570554733276367"
"3075","0.055910348892211914","0.055910348892211914","0.055910348892211914"
"3077","0.058331966400146484","0.058331966400146484","0.058331966400146484"
"3078","0.03490614891052246","0.03490614891052246","0.03490614891052246"
"3079","0.035588979721069336","0.035588979721069336","0.035588979721069336"
"3082","0.05666685104370117","0.05666685104370117","0.05666685104370117"
"3100","0.038896799087524414","0.038896799087524414","0.038896799087524414"
"3105","0.05242347717285156","0.05242347717285156","0.05242347717285156"
"3120","0.03516507148742676","0.03516507148742676","0.03516507148742676"
"3126","0.03618478775024414","0.03618478775024414","0.03618478775024414"
"3130","0.036858320236206055","0.036858320236206055","0.036858320236206055"
"3133","0.029753684997558594","0.029753684997558594","0.029753684997558594"
"3172","0.0572667121887207","0.0572667121887207","0.0572667121887207"
"3176","0.06014728546142578","0.06014728546142578","0.06014728546142578"
"3223","0.03110504150390625","0.03110504150390625","0.03110504150390625"
"3224","0.03812074661254883","0.03812074661254883","0.03812074661254883"
"3233","0.03378653526306152","0.03378653526306152","0.03378653526306152"
"3247","0.05794358253479004","0.05794358253479004","0.05794358253479004"
"3272","0.03493094444274902","0.03493094444274902","0.03493094444274902"
"3282","0.029977083206176758","0.029977083206176758","0.029977083206176758"
"3283","0.03383040428161621","0.03383040428161621","0.03383040428161621"
"3305","0.04777812957763672","0.04777812957763672","0.04777812957763672"
"3313","0.03014659881591797","0.03014659881591797","0.03014659881591797"
"3315","0.051828861236572266","0.051828861236572266","0.051828861236572266"
"3325","0.03025197982788086","0.03025197982788086","0.03025197982788086"
"3327","0.031476736068725586","0.031476736068725586","0.031476736068725586"
"3344","0.05420327186584473","0.05420327186584473","0.05420327186584473"
"3350","0.056649208068847656","0.056649208068847656","0.056649208068847656"
"3362","0.06602931022644043","0.06602931022644043","0.06602931022644043"
"3365","0.06108522415161133","0.06108522415161133","0.06108522415161133"
"3374","0.066131591796875","0.066131591796875","0.066131591796875"
"3376","0.054909706115722656","0.054909706115722656","0.054909706115722656"
"3381","0.03713035583496094","0.03713035583496094","0.03713035583496094"
"3407","0.031252384185791016","0.031252384185791016","0.031252384185791016"
"3426","0.03737354278564453","0.03737354278564453","0.03737354278564453"
"3453","0.05027413368225098","0.05027413368225098","0.05027413368225098"
"3494","0.03266263008117676","0.03266263008117676","0.03266263008117676"
"3503","0.02903437614440918","0.02903437614440918","0.02903437614440918"
"3525","0.05720043182373047","0.05720043182373047","0.05720043182373047"
"3547","0.06278014183044434","0.06278014183044434","0.06278014183044434"
"3562","0.05163073539733887","0.05163073539733887","0.05163073539733887"
"3576","0.05787539482116699","0.05787539482116699","0.05787539482116699"
"3582","0.06067180633544922","0.06067180633544922","0.06067180633544922"
"3596","0.0618741512298584","0.0618741512298584","0.0618741512298584"
"3614","0.05072426795959473","0.05072426795959473","0.05072426795959473"
"3618","0.04478192329406738","0.04478192329406738","0.04478192329406738"
"3621","0.05522656440734863","0.05522656440734863","0.05522656440734863"
"3627","0.06008481979370117","0.06008481979370117","0.06008481979370117"
"3629","0.057753562927246094","0.057753562927246094","0.057753562927246094"
"3648","0.05719947814941406","0.05719947814941406","0.05719947814941406"
"3652","0.05033063888549805","0.05033063888549805","0.05033063888549805"
"3675","0.03258800506591797","0.03258800506591797","0.03258800506591797"
"3686","0.03610539436340332","0.03610539436340332","0.03610539436340332"
"3692","0.03849673271179199","0.03849673271179199","0.03849673271179199"
"3697","0.03478670120239258","0.03478670120239258","0.03478670120239258"
"3759","0.034200429916381836","0.034200429916381836","0.034200429916381836"
"3768","0.06197166442871094","0.06197166442871094","0.06197166442871094"
"3777","0.05883669853210449","0.05883669853210449","0.05883669853210449"
"3784","0.03361988067626953","0.03361988067626953","0.03361988067626953"
"3786","0.04451608657836914","0.04451608657836914","0.04451608657836914"
"3808","0.053848981857299805","0.053848981857299805","0.053848981857299805"
"3813","0.05458974838256836","0.05458974838256836","0.05458974838256836"
"3822","0.04579496383666992","0.04579496383666992","0.04579496383666992"
"3837","0.0380091667175293","0.0380091667175293","0.0380091667175293"
"3855","0.039405107498168945","0.039405107498168945","0.039405107498168945"
"3857","0.05888867378234863","0.05888867378234863","0.05888867378234863"
"3868","0.03639507293701172","0.03639507293701172","0.03639507293701172"
"3876","0.03225994110107422","0.03225994110107422","0.03225994110107422"
