"Relative Time (Process)","phase2_upper_half - system/gpu.0.smClock","phase2_upper_half - system/gpu.0.smClock__MIN","phase2_upper_half - system/gpu.0.smClock__MAX","phase1_top3 - system/gpu.0.smClock","phase1_top3 - system/gpu.0.smClock__MIN","phase1_top3 - system/gpu.0.smClock__MAX"
"3570.666297135","210","210","210","","",""
"3570.931256402","","","","2790","2790","2790"
"3585.667159483","210","210","210","","",""
"3585.931866998","","","","2790","2790","2790"
"3600.66685826","210","210","210","","",""
"3600.932235079","","","","2790","2790","2790"
"3615.667051022","210","210","210","","",""
"3615.932166061","","","","2790","2790","2790"
"3630.666634625","210","210","210","","",""
"3630.931667799","","","","2790","2790","2790"
"3645.667542514","210","210","210","","",""
"3645.930977689","","","","2790","2790","2790"
"3660.666579431","210","210","210","","",""
"3660.931269496","","","","2790","2790","2790"
"3675.666802838","210","210","210","","",""
"3675.931931297","","","","2790","2790","2790"
"3690.666438803","210","210","210","","",""
"3690.932139368","","","","2790","2790","2790"
"3705.665542243","210","210","210","","",""
"3705.931942819","","","","2790","2790","2790"
"3720.666172261","210","210","210","","",""
"3720.931846981","","","","2790","2790","2790"
"3735.665480534","210","210","210","","",""
"3735.932032403","","","","2790","2790","2790"
"3750.667233973","210","210","210","","",""
"3750.93149373","","","","2790","2790","2790"
"3765.666298512","210","210","210","","",""
"3765.931520969","","","","2790","2790","2790"
"3780.666800056","210","210","210","","",""
"3780.931319763","","","","2790","2790","2790"
"3795.667639809","210","210","210","","",""
"3795.932076832","","","","2790","2790","2790"
"3810.666523195","210","210","210","","",""
"3810.931557318","","","","2790","2790","2790"
"3825.666540284","210","210","210","","",""
"3825.93144056","","","","2790","2790","2790"
"3840.667514001","210","210","210","","",""
"3840.932428067","","","","2790","2790","2790"
"3855.666852327","210","210","210","","",""
"3855.931523799","","","","2790","2790","2790"
"3870.666929274","210","210","210","","",""
"3870.931400857","","","","2790","2790","2790"
"3885.665581098","210","210","210","","",""
"3885.931766447","","","","2790","2790","2790"
"3900.666389265","210","210","210","","",""
"3900.931195645","","","","2790","2790","2790"
"3915.666491366","210","210","210","","",""
